Column1,name,ジャンル,その他ジャンル,都道府県,住所,電話番号,最寄り駅,Googleマップ,ウェブサイト,Twitter,Facebook,Instagram,normalized_name,name_count_norm,is_chain
1.0,薔薇絵亭,創作料理・無国籍料理,,茨城県,茨城県つくば市天久保2丁目7-22,298524568.0,つくば駅,https://goo.gl/maps/xpc9nYoHme3L3eZ46,,,,,薔薇絵亭,2.0,False
2.0,豊しん,魚介・海鮮料理,,茨城県,茨城県つくば市天久保2丁目2-4,298526639.0,つくば駅,https://goo.gl/maps/zrLcfZESdSogngMx6,,https://twitter.com/toyoshin1010,https://www.facebook.com/%E6%B5%B7%E9%AE%AE%E5%B1%85%E9%85%92%E5%B1%8B-%E8%B1%8A%E3%81%97%E3%82%93-913535018667760/,,豊しん,2.0,False
3.0,TABLE-cafe&dining-（ターブル）,カフェレストラン,,茨城県,茨城県つくば市千現2丁目1-6,298558088.0,つくば駅,https://goo.gl/maps/r5hXNQ4xRwwnMRSX6,https://www.tsukuba-tci.co.jp/conferenceroom/restaurant-2,,,,TABLE-cafe&dining-,2.0,False
4.0,筑波ハム,洋食,,茨城県,茨城県つくば市下平塚383,298561953.0,研究学園駅,https://goo.gl/maps/uT2ciyxQkEaZxT3Q8,http://www.tsukubaham.co.jp/,,,,筑波ハム,2.0,False
6.0,とんとこ豚,とんかつ,,茨城県,茨城県つくば市天久保2丁目18-4,298566515.0,つくば駅,https://g.page/ramengouya?share,,https://twitter.com/amakubotontoko,,,とんとこ豚,2.0,False
7.0,吾妻庵,そば・うどん,,茨城県,茨城県つくば市花室１６０９−１,298571251.0,,https://goo.gl/maps/ZFbD5EUYku8xpjoH8,,,,,吾妻庵,2.0,False
8.0,夢屋,定食・食堂,,茨城県,茨城県つくば市春日4丁目4-5,298580668.0,つくば駅,https://goo.gl/maps/t2hjg1DvPsALU6Ch9,,,,http://instagram.com/yumeya_tsukuba,夢屋,2.0,False
9.0,CAFÉ Clematis,カフェレストラン,,茨城県,茨城県つくば市春日4丁目5-7クラモチ春日マンション107ー1号,298581121.0,つくば駅,https://goo.gl/maps/3DXmJeS81VmfBGDb9,,https://twitter.com/clematis1122,,,CAFÉ Clematis,2.0,False
10.0,とんかつ純平,とんかつ,,茨城県,茨城県つくば市天久保1丁目1０-4,298582520.0,つくば駅,https://goo.gl/maps/sCuHTeuaekuCQw6j9,,,,,とんかつ純平,2.0,False
11.0,本場大阪 一太郎,お好み焼き・もんじゃ焼き,,茨城県,茨城県つくば市天久保2丁目6-1,298582610.0,つくば駅,https://goo.gl/maps/7yiYKFGDcquJfXei7,,https://twitter.com/ichitarookonomiyaki,,,本場大阪 一太郎,2.0,False
12.0,なごみ処きりん,居酒屋・ダイニングバー,,茨城県,茨城県つくば市天久保2丁目2-4,298583900.0,つくば駅,https://goo.gl/maps/GBquFuXgEArheiwb9,,https://twitter.com/kirinrininn,,,なごみ処きりん,2.0,False
13.0,サロン・デ・サン,カフェレストラン,,茨城県,茨城県つくば市天久保2丁目20-7レガートホソダ,298587886.0,つくば駅,https://goo.gl/maps/uJAMpQ7brrCiLR5A8,,,,,サロン・デ・サン,2.0,False
14.0,煮込み食堂まるしば,和食,,茨城県,茨城県つくば市下広岡1040-6,298590048.0,つくば駅,https://goo.gl/maps/NXy885UPJh9Q5T2H8,,https://twitter.com/ODdN2qmkw8aFAm4,,,煮込み食堂まるしば,2.0,False
15.0,ごう家,ラーメン・つけ麺,,茨城県,茨城県つくば市天久保2丁目15-7,298595151.0,つくば駅,https://goo.gl/maps/w4jVL72s5TobqGsP9,,https://twitter.com/ramengouya,,,ごう家,2.0,False
